,Country Name,hospital_beds per_thousand_2014,Health_expenditure per_capita_2017,Health_expenditure out_of_pocket per_capita_2017,Physicians per_thousand_2016,handwashing facilities%_2016,Total_tests per_thousand
89,Eritrea,,32.911998748779304,59.1215252876282,,,
90,Spain,,2506.46484375,23.5657900571823,4.0691,,
91,Estonia,,1300.48168945313,23.6646249890327,3.4651,,39.755
92,Ethiopia,,25.261953353881804,34.4089895486832,,7.874655864549309,0.14300000000000002
93,European Union,,3261.42692472469,15.8184501873583,,,
94,Fragile and conflict affected situations,,81.409367173405,61.6269654533574,,37.9983286726199,
95,Finland,,4205.74267578125,20.2274233102798,3.8080000000000003,,17.453
96,Fiji,,188.41432189941398,15.594248473644303,,,
97,France,,4379.72705078125,9.384219348430632,3.2349,,
98,"Micronesia, Fed. Sts.",,424.80978393554705,2.4035306647419903,,,
99,Gabon,,204.492248535156,25.1563906669617,0.3611,,
100,United Kingdom,,3858.67431640625,15.956822037696801,2.7959,,9.321
101,Georgia,,293.053588867188,54.7619044780731,,,
102,Ghana,,66.74941253662111,40.2916967868805,0.1283,40.9942058263864,
103,Guinea,,33.7201118469238,56.683546304702794,0.0788,17.4038694662787,
104,"Gambia, The",,23.272325515747102,22.031408548355103,,7.800127580001839,
105,Guinea-Bissau,,52.3594093322754,72.0612049102783,,6.38587005890903,
106,Equatorial Guinea,,301.150054931641,76.79201364517209,,,
107,Greece,,1516.58776855469,34.7502082586288,4.592,,6.92
108,Haiti,,62.3532791137695,40.2279019355774,,23.151039498826602,
109,Hungary,,981.4230346679691,26.894325017929102,3.2312,,7.277
110,Indonesia,,114.971786499023,34.6057176589966,,64.0943257291528,0.248
111,India,,69.293098449707,62.4015033245087,0.7592,59.422458126178704,0.5589999999999999
112,Ireland,,4976.8623046875,12.2811168432236,2.9536,,
113,Israel,,3144.62622070313,22.250886261463197,3.2176,,42.281000000000006
114,Italy,,2840.13061523438,23.4858065843582,4.0323,,31.603
115,Jamaica,,307.196044921875,17.2296956181526,0.4588,,
116,Japan,,4168.986328125,12.847717106342301,2.4118,,1.2990000000000002
117,Kazakhstan,,279.64532470703097,33.1494748592377,,98.99900651325899,12.378
118,Kenya,,76.6103210449219,24.043312668800397,,24.6073953229883,0.332
119,Kyrgyz Republic,,78.8228378295898,56.376630067825296,,89.20762859903009,
120,Cambodia,,82.07586669921879,60.4358732700348,,66.114851404164,
121,Kiribati,,171.41748046875,0.11221959721297,,,
122,St. Kitts and Nevis,,902.6589965820309,47.7699160575867,,,
123,"Korea, Rep.",,2283.07470703125,33.6690425872803,2.3124,,
124,Lao PDR,,62.1246337890625,46.1833655834198,,49.6697104972569,
125,Liberia,,56.599029541015604,45.5063581466675,,1.18332997804969,
126,St. Lucia,,460.06881713867205,44.753098487854004,,87.20196212867658,
127,Sri Lanka,,159.48474121093798,49.7577965259552,1.0578,,
128,Lesotho,,104.55279541015601,16.642640531063098,,2.09527790178864,
129,Lithuania,,1078.17919921875,32.2738111019135,4.337,,43.42
130,Latvia,,930.3523559570309,41.9875770807266,3.1946,,29.059
131,Monaco,,2932.421875,6.88783898949623,,,
132,Moldova,,191.18577575683602,43.6354845762253,,86.9794174842251,
133,Madagascar,,24.670837402343803,24.6854111552238,,,
